BGD,471,15,177,10718,721,83406
BEL,1127,15,557,70910,4868,627357
BFA,3,8,139,23,3,418
BGR,352,15,1948,31947,2178,685867
BIH,64,17,435,5639,324,27817
BRB,7,1,28,70,0,199
WLF,6,5,343,217,46,2059
BMU,11,41,1322,1576,38,14543
BRN,7,15,677,447,29,4736
BOL,48,11,184,1680,155,8814
JPN,738,10,474,28440,2887,349815
BEN,8,7,92,7,1,734
BTN,2,1,2,0,0,4
JAM,26,40,157,1251,31,4094
BWA,10,1,12,10,0,117
WSM,1,18,170,55,3,170
BES,9,1,14,16,0,128
BRA,2459,25,267,99156,4028,655592
CRI,100,13,213,3027,240,21291
JEY,6,1,36,35,0,218
BLR,380,21,416,15514,735,158091
BLZ,9,1,3,0,0,24
RUS,2707,15,319,142963,9303,862354
RWA,1,34,432,68,2,432
SRB,315,21,305,18013,862,96183
TLS,1,1,6,0,0,6
REU,7,4,286,121,28,2001
PAN,37,60,167,1141,19,6180
TJK,1,53,477,105,2,477
ROU,957,19,433,69446,3622,414529
GNB,3,1,98,0,0,293
GUM,9,1,23,16,0,206
GTM,60,68,55,478,7,3329
GRC,526,12,742,36894,3156,390118
GNQ,1,1,4,0,0,4
GLP,6,56,62,56,1,372
BHR,30,37,198,1086,29,5931
GUY,3,8,67,8,1,202
GGY,10,7,401,450,61,4011
GEO,44,40,760,3568,90,33445
GRD,1,1,1,0,0,1
GBR,10137,11,829,770774,72166,8399540
GAB,9,1,83,2,0,748
GIN,1,1,1,0,0,1
GMB,1,40,3895,201,5,3895
GRL,6,1,164,74,0,986
KWT,52,20,286,1022,51,14863
GIB,6,15,3478,1340,92,20866
GHA,36,18,68,248,14,2462
OMN,11,116,150,582,5,1654
JOR,129,25,233,2286,90,30012
VAT,1,1,1,0,0,1
HRV,283,22,459,15841,724,129942
BHS,14,11,241,445,40,3373
HTI,7,1,12,8,0,83
HUN,441,16,386,23580,1487,170341
HKG,237,11,913,11432,1049,216290
HND,22,16,223,632,40,4909
AND,3,1,21,19,0,64
PRI,62,60,120,1628,27,7416
PSE,35,41,108,941,23,3772
PRT,717,17,289,26114,1521,207059
SJM,4,1,16,8,0,63
PRY,47,39,1225,6396,164,57566
AIA,2,1,25,1,0,49
LVA,206,4,682,11352,2950,140567
PYF,4,1,124,27,0,494
PNG,5,68,137,68,1,686
PER,114,25,334,4995,203,38045
