CountryCode|NumUsers|Ratio|AvgRep|TotalUpVotes|TotalDownVotes|TotalReputation
BD|471|15|177|10718|721|83406
BE|1127|15|557|70910|4868|627357
BF|3|8|139|23|3|418
BG|352|15|1948|31947|2178|685867
BA|64|17|435|5639|324|27817
BB|7|1|28|70|0|199
WF|6|5|343|217|46|2059
BM|11|41|1322|1576|38|14543
BN|7|15|677|447|29|4736
BO|48|11|184|1680|155|8814
JP|738|10|474|28440|2887|349815
BJ|8|7|92|7|1|734
BT|2|1|2|0|0|4
JM|26|40|157|1251|31|4094
BW|10|1|12|10|0|117
WS|1|18|170|55|3|170
BQ|9|1|14|16|0|128
BR|2459|25|267|99156|4028|655592
CR|100|13|213|3027|240|21291
JE|6|1|36|35|0|218
BY|380|21|416|15514|735|158091
BZ|9|1|3|0|0|24
RU|2707|15|319|142963|9303|862354
RW|1|34|432|68|2|432
RS|315|21|305|18013|862|96183
TL|1|1|6|0|0|6
RE|7|4|286|121|28|2001
PA|37|60|167|1141|19|6180
TJ|1|53|477|105|2|477
RO|957|19|433|69446|3622|414529
GW|3|1|98|0|0|293
GU|9|1|23|16|0|206
GT|60|68|55|478|7|3329
GR|526|12|742|36894|3156|390118
GQ|1|1|4|0|0|4
GP|6|56|62|56|1|372
BH|30|37|198|1086|29|5931
GY|3|8|67|8|1|202
GG|10|7|401|450|61|4011
GE|44|40|760|3568|90|33445
GD|1|1|1|0|0|1
GB|10137|11|829|770774|72166|8399540
GA|9|1|83|2|0|748
GN|1|1|1|0|0|1
GM|1|40|3895|201|5|3895
GL|6|1|164|74|0|986
KW|52|20|286|1022|51|14863
GI|6|15|3478|1340|92|20866
GH|36|18|68|248|14|2462
OM|11|116|150|582|5|1654
TN|113|25|91|1263|51|10316
52|1|1|6|0|0|6
JO|129|25|233|2286|90|30012
VA|1|1|1|0|0|1
HR|283|22|459|15841|724|129942
BS|14|11|241|445|40|3373
HT|7|1|12|8|0|83
HU|441|16|386|23580|1487|170341
HK|237|11|913|11432|1049|216290
HN|22|16|223|632|40|4909
AD|3|1|21|19|0|64
PR|62|60|120|1628|27|7416
PS|35|41|108|941|23|3772
PT|717|17|289|26114|1521|207059
SJ|4|1|16|8|0|63
08|1|1|3|0|0|3
PY|47|39|1225|6396|164|57566
AI|2|1|25|1|0|49
SH|1|1|1|0|0|1
PF|4|1|124|27|0|494
PG|5|68|137|68|1|686
PE|114|25|334|4995|203|38045
PK|974|22|302|42416|1917|294615
PH|522|23|228|20523|908|119228
TM|2|65|76|65|1|152
PL|1493|17|413|88848|5276|616924
ZM|11|41|615|1036|25|6762
EE|160|6|569|11995|2092|90992
EG|432|41|162|15346|370|69769
ZA|962|23|291|39322|1683|279906
EC|59|26|39|310|12|2301
AL|21|30|221|658|22|4650
AO|4|1|11|5|0|44
SB|9|24|54|144|6|487
ET|23|10|376|409|41|8642
ZW|19|62|137|742|12|2599
KY|20|13|167|682|53|3331
ES|1687|17|300|59669|3537|505543
ME|18|28|343|1221|43|6177
MD|76|47|233|3311|70|17692
MG|12|1074|332|2147|2|3989
UY|149|27|225|5063|189|33497
MC|1|1|1|0|0|1
UZ|30|145|145|867|6|4345
MM|54|82|82|659|8|4439
ML|1|1|23|1|0|23
MO|7|1|82|13|0|577
MN|26|107|185|641|6|4810
MI|1|28|352|28|1|352
US|37465|13|720|2818198|217257|26992846
MU|22|134|97|267|2|2125
MT|82|8|197|2483|315|16177
MW|4|1|158|47|0|630
MV|9|1|38|42|0|346
MP|1|6|5633|159|25|5633
MS|2|1|46|28|0|91
MR|1|1|387|39|0|387
AU|3725|15|614|250134|16728|2288126
UG|39|66|82|395|6|3197
MY|350|20|207|9400|468|72308
MX|1844|15|575|112361|7745|1060266
AT|683|9|762|59004|6394|520127
FR|2748|17|503|144293|8663|1382259
AX|2|15|213|116|8|425
FI|610|18|632|42233|2314|385454
FJ|9|20|342|361|18|3076
FK|1|1|1|0|0|1
FM|9|4|226|248|58|2032
FO|7|13|80|63|5|561
NI|23|29|191|520|18|4382
NL|2444|11|645|141836|13150|1577203
NO|920|16|697|68801|4316|641623
NA|12|132|80|132|1|956
VU|1|11|617|21|2|617
NC|9|1|216|109|0|1943
NE|3|1|3|0|0|8
NG|141|23|100|1796|79|14129
NZ|886|12|660|64832|5491|584746
NP|197|7|319|4524|613|62770
XK|11|1|33|14|0|365
CI|5|1|3|0|0|17
CH|1004|11|836|98866|8649|839109
CO|240|17|430|7890|473|103084
CN|3385|21|96|36019|1687|326313
CM|8|57|104|114|2|830
